Rooms,Bathroom,Car,Landsize,Airbnb_Price,x0_h,x0_t,x0_u,x1_PI,x1_S,x1_SA,x1_SP,x1_VB,x2_Eastern Metropolitan,x2_Eastern Victoria,x2_Northern Metropolitan,x2_Northern Victoria,x2_South-Eastern Metropolitan,x2_Southern Metropolitan,x2_Western Metropolitan,x2_Western Victoria,x3_3099.0,x3_3199.0,x3_3299.0,x3_3399.0,x3_3499.0,x3_3799.0,x3_3899.0,x3_3999.0,YearBuilt,BuildingArea,Componente1,Componente2,Componente3,Componente4,Componente5,Price
2.0,1.0,1.0,202.0,130.62402,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1901.0,86.8,0.5498537870116229,-0.4535883055957767,0.09345569833296843,0.017830951835257965,-0.033763826313853336,1480000.0
2.0,1.0,0.0,156.0,130.62402,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1900.0,79.0,0.8449006226127201,-0.9268628457423549,0.21271980458196577,-0.5922425598844439,0.1271629239040633,1035000.0
3.0000000000000004,2.0,0.0,134.0,130.62402,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1900.0,150.0,1.0829667842660091,-0.2437752626143043,0.5144924480832053,-1.8314035369858768,0.6264731006000062,1465000.0
3.0000000000000004,2.0,1.0,94.0,130.62402,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1934.6,131.4,0.18785844377051292,-0.5148660951143297,0.4467286258571156,-0.9112718513590565,0.30611804363369494,850000.0
4.0,1.0,2.0,120.0,130.62402,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014.0,141.99999999999997,-0.4508186533811552,-0.07970095376607296,-0.15946126055777135,0.41080573408328713,-0.027681018526807728,1600000.0
2.0,1.0,0.0,181.0,130.62402,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1892.0,97.0,0.9018149630628141,-0.922516910113223,0.23878132735556526,-0.6557832633297297,0.1511069709051304,941000.0
3.0000000000000004,2.0,0.0,245.0,130.62402,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1910.0,210.0,0.8094943160845115,-0.3702803359809964,0.7226928507584841,-1.9091523601026423,0.6990674785812394,1876000.0
2.0,1.0,2.0,256.0,130.62402,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1890.0,107.0,0.3407306627366056,-0.0029976959935139927,0.0014965099309641023,0.5616654270406025,-0.17796543124918107,1636000.0
1.0,1.0,1.0,0.0,130.62402,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1999.8000000000002,56.19999999999999,-0.8062022224118872,0.6329986427800386,0.2618011455983673,-0.16575144227361055,0.21819247069048156,300000.0
2.0,1.0,2.0,220.00000000000003,130.62402,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1900.0,75.0,0.26504850261160484,-0.02325314521179586,-0.04542257417707893,0.6757664284477998,-0.22149082499529968,1097000.0
